time_readable,heart_rate_value
"2018-10-23 13:00:04",86
"2018-10-23 13:00:09",87
"2018-10-23 13:00:14",90
"2018-10-23 13:00:19",89
"2018-10-23 13:00:24",89
"2018-10-23 13:00:29",87
"2018-10-23 13:00:39",89
"2018-10-23 13:00:44",88
"2018-10-23 13:00:54",83
"2018-10-23 13:00:59",82
"2018-10-23 13:01:14",83
"2018-10-23 13:01:24",84
"2018-10-23 13:01:29",82
"2018-10-23 13:01:44",81
"2018-10-23 13:01:49",80
"2018-10-23 13:01:54",76
"2018-10-23 13:01:59",73
"2018-10-23 13:02:04",73
"2018-10-23 13:02:14",75
"2018-10-23 13:02:19",76
"2018-10-23 13:02:24",75
"2018-10-23 13:02:29",76
"2018-10-23 13:02:34",77
"2018-10-23 13:02:39",81
"2018-10-23 13:02:44",84
"2018-10-23 13:02:51",83
"2018-10-23 13:03:06",82
"2018-10-23 13:03:11",84
"2018-10-23 13:03:16",81
"2018-10-23 13:03:31",81
"2018-10-23 13:03:46",81
"2018-10-23 13:04:01",81
"2018-10-23 13:04:16",81
"2018-10-23 13:04:26",81
"2018-10-23 13:04:41",81
"2018-10-23 13:04:56",81
"2018-10-23 13:05:06",82
"2018-10-23 13:05:11",83
"2018-10-23 13:05:21",84
"2018-10-23 13:05:36",85
"2018-10-23 13:05:41",86
"2018-10-23 13:05:46",87
"2018-10-23 13:05:51",89
"2018-10-23 13:05:56",90
"2018-10-23 13:06:01",92
"2018-10-23 13:06:06",97
"2018-10-23 13:06:11",99
"2018-10-23 13:06:16",100
"2018-10-23 13:06:26",99
"2018-10-23 13:06:31",94
"2018-10-23 13:06:36",95
"2018-10-23 13:06:41",94
"2018-10-23 13:06:48",98
"2018-10-23 13:06:53",102
"2018-10-23 13:06:58",102
"2018-10-23 13:07:03",104
"2018-10-23 13:07:08",108
"2018-10-23 13:07:13",111
"2018-10-23 13:07:18",113
"2018-10-23 13:07:23",112
"2018-10-23 13:07:33",111
"2018-10-23 13:07:38",110
"2018-10-23 13:07:48",109
"2018-10-23 13:07:58",110
"2018-10-23 13:08:03",111
"2018-10-23 13:08:08",112
"2018-10-23 13:08:13",112
"2018-10-23 13:08:18",113
"2018-10-23 13:08:33",113
"2018-10-23 13:08:43",112
"2018-10-23 13:08:48",110
"2018-10-23 13:08:53",109
"2018-10-23 13:08:58",110
"2018-10-23 13:09:03",111
"2018-10-23 13:09:08",110
"2018-10-23 13:09:13",109
"2018-10-23 13:09:18",110
"2018-10-23 13:09:23",107
"2018-10-23 13:09:28",104
"2018-10-23 13:09:34",104
"2018-10-23 13:09:39",102
"2018-10-23 13:09:44",104
"2018-10-23 13:09:49",107
"2018-10-23 13:09:54",108
"2018-10-23 13:09:59",109
"2018-10-23 13:10:14",111
"2018-10-23 13:10:19",116
"2018-10-23 13:10:24",122
"2018-10-23 13:10:29",124
"2018-10-23 13:10:39",126
"2018-10-23 13:10:44",127
"2018-10-23 13:10:49",128
"2018-10-23 13:10:54",127
"2018-10-23 13:10:59",127
"2018-10-23 13:11:14",127
"2018-10-23 13:11:19",127
"2018-10-23 13:11:34",127
"2018-10-23 13:11:49",127
"2018-10-23 13:11:59",126
"2018-10-23 13:12:04",125
"2018-10-23 13:12:09",120
"2018-10-23 13:12:14",118
"2018-10-23 13:12:29",118
"2018-10-23 13:12:44",118
"2018-10-23 13:12:49",116
"2018-10-23 13:12:54",111
"2018-10-23 13:13:01",111
"2018-10-23 13:13:16",111
"2018-10-23 13:13:26",108
"2018-10-23 13:13:31",103
"2018-10-23 13:13:36",101
"2018-10-23 13:13:51",100
"2018-10-23 13:13:56",98
"2018-10-23 13:14:01",96
"2018-10-23 13:14:06",95
"2018-10-23 13:14:21",95
"2018-10-23 13:14:31",94
"2018-10-23 13:14:36",93
"2018-10-23 13:14:41",92
"2018-10-23 13:14:56",92
"2018-10-23 13:15:11",92
"2018-10-23 13:15:21",93
"2018-10-23 13:15:26",92
"2018-10-23 13:15:31",91
"2018-10-23 13:15:36",92
"2018-10-23 13:15:41",91
"2018-10-23 13:15:46",92
"2018-10-23 13:15:56",93
"2018-10-23 13:16:06",91
"2018-10-23 13:16:11",90
"2018-10-23 13:16:16",88
"2018-10-23 13:16:21",84
"2018-10-23 13:16:31",83
"2018-10-23 13:16:38",84
"2018-10-23 13:16:43",85
"2018-10-23 13:16:48",87
"2018-10-23 13:16:53",88
"2018-10-23 13:17:08",88
"2018-10-23 13:17:13",87
"2018-10-23 13:17:28",87
"2018-10-23 13:17:43",87
"2018-10-23 13:17:53",89
"2018-10-23 13:18:08",89
"2018-10-23 13:18:13",89
"2018-10-23 13:18:23",89
"2018-10-23 13:18:28",91
"2018-10-23 13:18:33",94
"2018-10-23 13:18:38",100
"2018-10-23 13:18:43",101
"2018-10-23 13:18:53",102
"2018-10-23 13:19:03",106
"2018-10-23 13:19:08",107
"2018-10-23 13:19:13",108
"2018-10-23 13:19:28",108
"2018-10-23 13:19:33",110
"2018-10-23 13:19:43",111
"2018-10-23 13:19:48",110
"2018-10-23 13:20:03",112
"2018-10-23 13:20:08",115
"2018-10-23 13:20:18",114
"2018-10-23 13:20:25",115
"2018-10-23 13:20:40",114
"2018-10-23 13:20:45",112
"2018-10-23 13:20:50",108
"2018-10-23 13:20:55",107
"2018-10-23 13:21:10",104
"2018-10-23 13:21:15",100
"2018-10-23 13:21:20",99
"2018-10-23 13:21:30",97
"2018-10-23 13:21:40",96
"2018-10-23 13:21:55",96
"2018-10-23 13:22:10",96
"2018-10-23 13:22:15",96
"2018-10-23 13:22:20",96
"2018-10-23 13:22:35",96
"2018-10-23 13:22:50",97
"2018-10-23 13:23:00",97
"2018-10-23 13:23:15",96
"2018-10-23 13:23:30",95
