time_readable,heart_rate_value
"2018-02-16 13:00:09",63
"2018-02-16 13:00:24",63
"2018-02-16 13:00:39",65
"2018-02-16 13:00:44",66
"2018-02-16 13:00:59",65
"2018-02-16 13:01:14",64
"2018-02-16 13:01:29",64
"2018-02-16 13:01:34",65
"2018-02-16 13:01:49",65
"2018-02-16 13:01:59",64
"2018-02-16 13:02:14",64
"2018-02-16 13:02:29",64
"2018-02-16 13:02:44",64
"2018-02-16 13:02:49",68
"2018-02-16 13:02:54",71
"2018-02-16 13:03:01",72
"2018-02-16 13:03:06",74
"2018-02-16 13:03:11",76
"2018-02-16 13:03:16",78
"2018-02-16 13:03:21",81
"2018-02-16 13:03:26",83
"2018-02-16 13:03:41",82
"2018-02-16 13:03:51",81
"2018-02-16 13:03:56",80
"2018-02-16 13:04:01",79
"2018-02-16 13:04:06",77
"2018-02-16 13:04:11",76
"2018-02-16 13:04:16",75
"2018-02-16 13:04:31",75
"2018-02-16 13:04:36",76
"2018-02-16 13:04:41",77
"2018-02-16 13:04:46",78
"2018-02-16 13:04:51",82
"2018-02-16 13:04:56",83
"2018-02-16 13:05:01",85
"2018-02-16 13:05:06",91
"2018-02-16 13:05:11",96
"2018-02-16 13:05:16",102
"2018-02-16 13:05:21",107
"2018-02-16 13:05:26",111
"2018-02-16 13:05:31",112
"2018-02-16 13:05:41",110
"2018-02-16 13:05:48",112
"2018-02-16 13:05:58",113
"2018-02-16 13:06:03",114
"2018-02-16 13:06:08",113
"2018-02-16 13:06:18",115
"2018-02-16 13:06:28",116
"2018-02-16 13:06:33",115
"2018-02-16 13:06:38",117
"2018-02-16 13:06:43",118
"2018-02-16 13:06:48",119
"2018-02-16 13:06:53",119
"2018-02-16 13:06:58",121
"2018-02-16 13:07:13",121
"2018-02-16 13:07:18",120
"2018-02-16 13:07:23",116
"2018-02-16 13:07:28",121
"2018-02-16 13:07:33",122
"2018-02-16 13:07:38",120
"2018-02-16 13:07:48",123
"2018-02-16 13:07:53",124
"2018-02-16 13:08:03",122
"2018-02-16 13:08:08",117
"2018-02-16 13:08:13",116
"2018-02-16 13:08:18",118
"2018-02-16 13:08:23",118
"2018-02-16 13:08:28",121
"2018-02-16 13:08:33",126
"2018-02-16 13:08:39",128
"2018-02-16 13:08:44",130
