time_readable,heart_rate_value
"2018-03-01 13:00:01",102
"2018-03-01 13:00:11",91
"2018-03-01 13:00:16",84
"2018-03-01 13:00:21",85
"2018-03-01 13:00:26",79
"2018-03-01 13:00:31",69
"2018-03-01 13:00:36",66
"2018-03-01 13:00:41",62
"2018-03-01 13:00:46",57
"2018-03-01 13:00:51",54
"2018-03-01 13:00:56",55
"2018-03-01 13:01:02",77
"2018-03-01 13:01:07",79
"2018-03-01 13:01:12",78
"2018-03-01 13:01:17",79
"2018-03-01 13:01:22",87
"2018-03-01 13:01:27",87
"2018-03-01 13:01:32",86
"2018-03-01 13:01:47",84
"2018-03-01 13:02:02",84
"2018-03-01 13:02:07",85
"2018-03-01 13:02:12",86
"2018-03-01 13:02:22",85
"2018-03-01 13:02:32",87
"2018-03-01 13:02:37",86
"2018-03-01 13:02:52",87
"2018-03-01 13:02:57",86
"2018-03-01 13:03:02",87
"2018-03-01 13:03:07",86
"2018-03-01 13:03:12",87
"2018-03-01 13:03:27",87
"2018-03-01 13:03:37",88
"2018-03-01 13:03:42",87
"2018-03-01 13:03:47",86
"2018-03-01 13:03:52",84
"2018-03-01 13:03:57",83
"2018-03-01 13:04:07",81
"2018-03-01 13:04:14",81
"2018-03-01 13:04:24",78
"2018-03-01 13:04:29",77
"2018-03-01 13:04:34",79
"2018-03-01 13:04:39",80
"2018-03-01 13:04:44",78
"2018-03-01 13:04:49",77
"2018-03-01 13:04:54",81
"2018-03-01 13:04:59",83
"2018-03-01 13:05:04",84
"2018-03-01 13:05:09",84
"2018-03-01 13:05:24",84
"2018-03-01 13:05:34",83
"2018-03-01 13:05:39",81
"2018-03-01 13:05:44",82
"2018-03-01 13:05:54",84
"2018-03-01 13:05:59",87
"2018-03-01 13:06:09",86
"2018-03-01 13:06:14",85
"2018-03-01 13:06:19",83
"2018-03-01 13:06:34",81
"2018-03-01 13:06:39",80
"2018-03-01 13:06:44",79
"2018-03-01 13:06:49",78
"2018-03-01 13:06:54",77
"2018-03-01 13:06:59",75
"2018-03-01 13:07:09",79
"2018-03-01 13:07:16",80
"2018-03-01 13:07:21",77
"2018-03-01 13:07:26",87
"2018-03-01 13:07:31",88
"2018-03-01 13:07:41",87
"2018-03-01 13:07:46",86
"2018-03-01 13:07:56",87
"2018-03-01 13:08:01",85
"2018-03-01 13:08:16",82
"2018-03-01 13:08:21",80
"2018-03-01 13:08:36",79
"2018-03-01 13:08:41",79
"2018-03-01 13:08:46",78
"2018-03-01 13:08:51",75
"2018-03-01 13:09:01",74
"2018-03-01 13:09:06",74
"2018-03-01 13:09:11",71
"2018-03-01 13:09:16",69
"2018-03-01 13:09:21",66
"2018-03-01 13:09:26",69
"2018-03-01 13:09:31",70
"2018-03-01 13:09:36",69
"2018-03-01 13:09:41",68
"2018-03-01 13:09:46",67
"2018-03-01 13:09:51",68
"2018-03-01 13:09:56",67
"2018-03-01 13:10:02",67
"2018-03-01 13:10:12",63
"2018-03-01 13:10:17",62
"2018-03-01 13:10:22",61
"2018-03-01 13:10:27",59
"2018-03-01 13:10:32",57
"2018-03-01 13:10:47",57
"2018-03-01 13:10:57",57
"2018-03-01 13:11:07",58
"2018-03-01 13:11:12",59
"2018-03-01 13:11:17",58
"2018-03-01 13:11:32",59
"2018-03-01 13:11:37",58
"2018-03-01 13:11:52",58
"2018-03-01 13:11:57",56
"2018-03-01 13:12:07",58
"2018-03-01 13:12:22",58
"2018-03-01 13:12:27",57
"2018-03-01 13:12:32",59
"2018-03-01 13:12:42",59
"2018-03-01 13:12:57",59
"2018-03-01 13:13:12",59
"2018-03-01 13:13:22",58
"2018-03-01 13:13:37",58
"2018-03-01 13:13:52",59
"2018-03-01 13:13:57",60
"2018-03-01 13:14:02",61
"2018-03-01 13:14:10",61
"2018-03-01 13:14:15",60
"2018-03-01 13:14:20",61
"2018-03-01 13:14:25",63
"2018-03-01 13:14:30",61
"2018-03-01 13:14:40",61
"2018-03-01 13:14:55",60
"2018-03-01 13:15:00",59
"2018-03-01 13:15:05",60
"2018-03-01 13:15:10",61
"2018-03-01 13:15:15",63
"2018-03-01 13:15:20",64
"2018-03-01 13:15:35",64
"2018-03-01 13:15:40",62
"2018-03-01 13:15:45",61
"2018-03-01 13:15:50",62
"2018-03-01 13:16:00",60
"2018-03-01 13:16:05",58
"2018-03-01 13:16:15",60
"2018-03-01 13:16:30",60
"2018-03-01 13:16:40",59
"2018-03-01 13:16:45",57
"2018-03-01 13:17:00",57
"2018-03-01 13:17:10",56
"2018-03-01 13:17:15",57
"2018-03-01 13:17:25",56
"2018-03-01 13:17:30",58
"2018-03-01 13:17:37",57
"2018-03-01 13:17:52",56
"2018-03-01 13:18:07",60
"2018-03-01 13:18:12",64
"2018-03-01 13:18:22",63
"2018-03-01 13:18:27",64
"2018-03-01 13:18:37",65
"2018-03-01 13:18:47",65
"2018-03-01 13:18:52",65
"2018-03-01 13:18:57",66
"2018-03-01 13:19:02",65
"2018-03-01 13:19:07",64
"2018-03-01 13:19:22",65
"2018-03-01 13:19:27",67
"2018-03-01 13:19:42",66
"2018-03-01 13:19:47",64
"2018-03-01 13:20:02",64
"2018-03-01 13:20:07",65
"2018-03-01 13:20:12",68
"2018-03-01 13:20:17",66
"2018-03-01 13:20:22",60
