time_readable,heart_rate_value
"2018-02-15 12:00:01",133
"2018-02-15 12:00:05",133
"2018-02-15 12:00:10",134
"2018-02-15 12:00:20",131
"2018-02-15 12:00:25",128
"2018-02-15 12:00:40",128
"2018-02-15 12:00:55",127
"2018-02-15 12:01:05",125
"2018-02-15 12:01:10",123
"2018-02-15 12:01:15",120
"2018-02-15 12:01:20",119
"2018-02-15 12:01:25",117
"2018-02-15 12:01:30",113
"2018-02-15 12:01:35",103
"2018-02-15 12:01:40",97
"2018-02-15 12:01:45",97
"2018-02-15 12:01:50",96
"2018-02-15 12:02:00",95
"2018-02-15 12:02:10",96
"2018-02-15 12:02:25",95
"2018-02-15 12:02:35",93
"2018-02-15 12:02:40",89
"2018-02-15 12:02:55",89
"2018-02-15 12:03:00",90
"2018-02-15 12:03:15",90
"2018-02-15 12:03:20",89
"2018-02-15 12:03:25",87
"2018-02-15 12:03:33",95
"2018-02-15 12:03:38",81
"2018-02-15 12:03:43",80
"2018-02-15 12:03:58",79
"2018-02-15 12:04:03",78
"2018-02-15 12:04:08",78
"2018-02-15 12:04:23",78
"2018-02-15 12:04:38",80
"2018-02-15 12:04:43",80
"2018-02-15 12:04:48",82
"2018-02-15 12:04:53",84
"2018-02-15 12:04:58",84
"2018-02-15 12:05:03",82
"2018-02-15 12:05:13",84
"2018-02-15 12:05:28",85
"2018-02-15 12:05:33",93
"2018-02-15 12:05:38",94
"2018-02-15 12:05:48",96
"2018-02-15 12:05:53",97
"2018-02-15 12:06:03",97
"2018-02-15 12:06:08",96
"2018-02-15 12:06:13",94
"2018-02-15 12:06:23",98
"2018-02-15 12:06:28",100
"2018-02-15 12:06:33",101
"2018-02-15 12:06:39",104
"2018-02-15 12:06:44",88
"2018-02-15 12:06:49",89
"2018-02-15 12:06:54",100
"2018-02-15 12:07:09",100
"2018-02-15 12:07:14",98
"2018-02-15 12:07:19",94
"2018-02-15 12:07:24",90
"2018-02-15 12:07:29",87
"2018-02-15 12:07:34",88
"2018-02-15 12:07:49",90
"2018-02-15 12:07:54",92
"2018-02-15 12:08:09",92
"2018-02-15 12:08:14",91
"2018-02-15 12:08:29",91
"2018-02-15 12:08:44",91
"2018-02-15 12:08:59",91
"2018-02-15 12:09:04",91
"2018-02-15 12:09:19",91
"2018-02-15 12:09:34",91
"2018-02-15 12:09:49",91
"2018-02-15 12:09:59",89
"2018-02-15 12:10:14",89
"2018-02-15 12:10:24",87
"2018-02-15 12:10:29",86
"2018-02-15 12:10:37",86
"2018-02-15 12:10:52",86
"2018-02-15 12:11:07",86
"2018-02-15 12:11:22",86
"2018-02-15 12:11:27",84
"2018-02-15 12:11:32",85
"2018-02-15 12:11:37",85
"2018-02-15 12:11:42",86
"2018-02-15 12:11:57",86
"2018-02-15 12:12:02",87
"2018-02-15 12:12:12",85
"2018-02-15 12:12:17",85
"2018-02-15 12:12:27",84
"2018-02-15 12:12:42",82
"2018-02-15 12:12:47",82
"2018-02-15 12:13:02",83
"2018-02-15 12:13:07",82
"2018-02-15 12:13:12",81
"2018-02-15 12:13:17",80
"2018-02-15 12:13:22",80
"2018-02-15 12:13:37",80
"2018-02-15 12:13:42",81
"2018-02-15 12:13:47",80
"2018-02-15 12:14:02",79
"2018-02-15 12:14:17",79
"2018-02-15 12:14:27",80
"2018-02-15 12:14:32",82
"2018-02-15 12:14:39",84
"2018-02-15 12:14:44",85
"2018-02-15 12:14:49",86
"2018-02-15 12:14:59",87
"2018-02-15 12:15:04",89
"2018-02-15 12:15:09",95
"2018-02-15 12:15:14",94
"2018-02-15 12:15:29",95
"2018-02-15 12:15:39",96
"2018-02-15 12:15:44",98
"2018-02-15 12:15:49",100
"2018-02-15 12:15:54",102
"2018-02-15 12:15:59",104
"2018-02-15 12:16:04",106
"2018-02-15 12:16:14",105
"2018-02-15 12:16:19",106
"2018-02-15 12:16:24",107
"2018-02-15 12:16:29",105
"2018-02-15 12:16:34",105
"2018-02-15 12:16:49",105
"2018-02-15 12:16:54",105
"2018-02-15 12:16:59",104
"2018-02-15 12:17:04",103
"2018-02-15 12:17:19",103
"2018-02-15 12:17:24",102
"2018-02-15 12:17:29",99
"2018-02-15 12:17:35",79
"2018-02-15 12:17:40",78
"2018-02-15 12:17:45",77
"2018-02-15 12:17:50",75
"2018-02-15 12:18:00",78
"2018-02-15 12:18:05",80
"2018-02-15 12:18:10",78
"2018-02-15 12:18:15",79
"2018-02-15 12:18:20",84
"2018-02-15 12:18:25",87
"2018-02-15 12:18:30",90
"2018-02-15 12:18:35",93
"2018-02-15 12:18:40",95
"2018-02-15 12:18:50",93
"2018-02-15 12:18:55",92
"2018-02-15 12:19:00",93
"2018-02-15 12:19:05",94
"2018-02-15 12:19:10",95
"2018-02-15 12:19:20",96
"2018-02-15 12:19:30",97
"2018-02-15 12:19:35",95
"2018-02-15 12:19:50",100
"2018-02-15 12:19:55",99
"2018-02-15 12:20:00",95
"2018-02-15 12:20:05",95
"2018-02-15 12:20:20",95
"2018-02-15 12:20:25",94
"2018-02-15 12:20:32",91
"2018-02-15 12:20:37",87
"2018-02-15 12:20:42",89
"2018-02-15 12:20:47",88
"2018-02-15 12:20:52",86
"2018-02-15 12:20:57",85
"2018-02-15 12:21:02",85
"2018-02-15 12:21:17",85
"2018-02-15 12:21:22",84
"2018-02-15 12:21:37",84
"2018-02-15 12:21:52",84
"2018-02-15 12:22:07",83
"2018-02-15 12:22:17",85
"2018-02-15 12:22:32",85
"2018-02-15 12:22:37",84
"2018-02-15 12:22:42",81
"2018-02-15 12:22:57",81
"2018-02-15 12:23:02",80
"2018-02-15 12:23:17",79
"2018-02-15 12:23:27",81
"2018-02-15 12:23:32",75
"2018-02-15 12:23:37",74
"2018-02-15 12:23:42",72
"2018-02-15 12:23:47",74
"2018-02-15 12:23:52",73
"2018-02-15 12:23:57",85
"2018-02-15 12:24:04",86
"2018-02-15 12:24:09",85
"2018-02-15 12:24:19",84
"2018-02-15 12:24:29",83
"2018-02-15 12:24:34",84
"2018-02-15 12:24:39",82
"2018-02-15 12:24:44",83
"2018-02-15 12:24:49",84
"2018-02-15 12:24:54",83
"2018-02-15 12:24:59",84
"2018-02-15 12:25:04",83
"2018-02-15 12:25:14",86
"2018-02-15 12:25:19",86
"2018-02-15 12:25:24",88
"2018-02-15 12:25:29",86
"2018-02-15 12:25:34",86
"2018-02-15 12:25:44",86
"2018-02-15 12:25:49",87
"2018-02-15 12:25:59",85
"2018-02-15 12:26:04",83
"2018-02-15 12:26:14",82
"2018-02-15 12:26:19",83
"2018-02-15 12:26:24",85
"2018-02-15 12:26:29",84
"2018-02-15 12:26:34",77
"2018-02-15 12:26:39",76
"2018-02-15 12:26:44",75
"2018-02-15 12:26:50",74
"2018-02-15 12:26:55",72
"2018-02-15 12:27:00",76
"2018-02-15 12:27:05",80
"2018-02-15 12:27:20",80
"2018-02-15 12:27:25",74
"2018-02-15 12:27:30",74
"2018-02-15 12:27:45",74
"2018-02-15 12:27:50",75
"2018-02-15 12:28:00",75
"2018-02-15 12:28:05",75
"2018-02-15 12:28:15",74
"2018-02-15 12:28:20",73
"2018-02-15 12:28:25",76
"2018-02-15 12:28:40",80
"2018-02-15 12:28:45",80
"2018-02-15 12:28:50",79
"2018-02-15 12:29:05",79
"2018-02-15 12:29:15",79
"2018-02-15 12:29:30",79
"2018-02-15 12:29:35",79
"2018-02-15 12:29:50",79
"2018-02-15 12:29:55",79
"2018-02-15 12:30:05",83
"2018-02-15 12:30:10",84
"2018-02-15 12:30:25",82
"2018-02-15 12:30:30",78
"2018-02-15 12:30:37",78
"2018-02-15 12:30:52",76
"2018-02-15 12:31:02",77
"2018-02-15 12:31:07",80
"2018-02-15 12:31:17",79
"2018-02-15 12:31:32",79
"2018-02-15 12:31:37",82
"2018-02-15 12:31:47",81
"2018-02-15 12:31:57",80
"2018-02-15 12:32:02",85
"2018-02-15 12:32:07",86
"2018-02-15 12:32:17",82
"2018-02-15 12:32:27",79
"2018-02-15 12:32:32",81
"2018-02-15 12:32:37",82
"2018-02-15 12:32:42",84
"2018-02-15 12:32:47",84
"2018-02-15 12:33:02",83
"2018-02-15 12:33:17",80
"2018-02-15 12:33:22",78
"2018-02-15 12:33:27",79
"2018-02-15 12:33:32",78
"2018-02-15 12:33:37",88
"2018-02-15 12:33:42",87
"2018-02-15 12:33:57",86
"2018-02-15 12:34:12",87
"2018-02-15 12:34:14",87
"2018-02-15 12:34:19",86
"2018-02-15 12:34:24",84
"2018-02-15 12:34:29",82
"2018-02-15 12:34:34",81
"2018-02-15 12:34:39",82
"2018-02-15 12:34:49",85
"2018-02-15 12:34:54",82
"2018-02-15 12:34:59",84
"2018-02-15 12:35:04",85
"2018-02-15 12:35:09",84
"2018-02-15 12:35:14",84
"2018-02-15 12:35:19",79
"2018-02-15 12:35:24",81
"2018-02-15 12:35:34",83
"2018-02-15 12:35:39",77
"2018-02-15 12:35:49",78
"2018-02-15 12:36:04",81
"2018-02-15 12:36:14",72
"2018-02-15 12:36:19",72
"2018-02-15 12:36:24",73
"2018-02-15 12:36:29",76
"2018-02-15 12:36:34",80
"2018-02-15 12:36:39",81
"2018-02-15 12:36:44",82
"2018-02-15 12:36:49",85
"2018-02-15 12:36:55",85
"2018-02-15 12:37:00",88
"2018-02-15 12:37:15",87
"2018-02-15 12:37:20",86
"2018-02-15 12:37:25",85
"2018-02-15 12:37:35",86
"2018-02-15 12:37:40",85
"2018-02-15 12:37:45",85
"2018-02-15 12:37:55",85
"2018-02-15 12:38:00",83
"2018-02-15 12:38:05",81
"2018-02-15 12:38:10",82
"2018-02-15 12:38:15",81
"2018-02-15 12:38:20",84
"2018-02-15 12:38:25",83
"2018-02-15 12:38:30",85
"2018-02-15 12:38:35",84
"2018-02-15 12:38:40",84
"2018-02-15 12:38:50",83
"2018-02-15 12:38:55",83
"2018-02-15 12:39:00",82
"2018-02-15 12:39:05",79
"2018-02-15 12:39:10",76
"2018-02-15 12:39:20",78
"2018-02-15 12:39:35",78
"2018-02-15 12:39:40",76
"2018-02-15 12:39:45",76
"2018-02-15 12:39:52",76
"2018-02-15 12:39:57",81
"2018-02-15 12:40:02",79
"2018-02-15 12:40:07",80
"2018-02-15 12:40:12",79
"2018-02-15 12:40:22",78
"2018-02-15 12:40:32",79
