time_readable,heart_rate_value
"2018-06-07 15:00:02",102
"2018-06-07 15:00:07",101
"2018-06-07 15:00:12",96
"2018-06-07 15:00:17",98
"2018-06-07 15:00:22",97
"2018-06-07 15:00:27",101
"2018-06-07 15:00:32",105
"2018-06-07 15:00:37",110
"2018-06-07 15:00:47",112
"2018-06-07 15:00:52",116
"2018-06-07 15:00:57",112
"2018-06-07 15:01:02",117
"2018-06-07 15:01:07",119
"2018-06-07 15:01:17",120
"2018-06-07 15:01:22",119
"2018-06-07 15:01:27",123
"2018-06-07 15:01:32",124
"2018-06-07 15:01:42",123
"2018-06-07 15:01:47",128
"2018-06-07 15:01:52",130
"2018-06-07 15:01:57",117
"2018-06-07 15:02:02",115
"2018-06-07 15:02:07",116
"2018-06-07 15:02:13",116
"2018-06-07 15:02:23",119
"2018-06-07 15:02:28",124
"2018-06-07 15:02:43",124
"2018-06-07 15:02:58",119
"2018-06-07 15:03:08",114
"2018-06-07 15:03:13",112
"2018-06-07 15:03:23",111
"2018-06-07 15:03:28",104
"2018-06-07 15:03:33",84
"2018-06-07 15:03:38",83
"2018-06-07 15:03:43",83
"2018-06-07 15:03:53",86
"2018-06-07 15:03:58",88
"2018-06-07 15:04:03",88
"2018-06-07 15:04:13",87
"2018-06-07 15:04:23",88
"2018-06-07 15:04:38",89
"2018-06-07 15:04:43",89
"2018-06-07 15:04:53",89
"2018-06-07 15:05:08",89
"2018-06-07 15:05:13",90
"2018-06-07 15:05:18",91
"2018-06-07 15:05:23",95
"2018-06-07 15:05:28",93
"2018-06-07 15:05:35",93
"2018-06-07 15:05:40",92
"2018-06-07 15:05:45",93
"2018-06-07 15:05:50",92
"2018-06-07 15:06:00",91
"2018-06-07 15:06:05",90
"2018-06-07 15:06:10",87
"2018-06-07 15:06:15",84
"2018-06-07 15:06:20",82
"2018-06-07 15:06:25",82
"2018-06-07 15:06:30",83
"2018-06-07 15:06:35",85
"2018-06-07 15:06:45",88
"2018-06-07 15:07:00",88
"2018-06-07 15:07:10",89
"2018-06-07 15:07:15",92
"2018-06-07 15:07:20",95
"2018-06-07 15:07:30",94
"2018-06-07 15:07:35",93
"2018-06-07 15:07:50",93
"2018-06-07 15:07:55",91
"2018-06-07 15:08:00",90
"2018-06-07 15:08:05",89
"2018-06-07 15:08:20",88
"2018-06-07 15:08:35",88
"2018-06-07 15:08:50",89
"2018-06-07 15:09:00",90
"2018-06-07 15:09:07",89
"2018-06-07 15:09:17",90
"2018-06-07 15:09:22",89
"2018-06-07 15:09:37",90
"2018-06-07 15:09:52",90
"2018-06-07 15:10:07",90
"2018-06-07 15:10:12",88
"2018-06-07 15:10:27",88
"2018-06-07 15:10:42",88
"2018-06-07 15:10:52",87
"2018-06-07 15:11:07",87
"2018-06-07 15:11:17",88
"2018-06-07 15:11:32",88
"2018-06-07 15:11:47",88
"2018-06-07 15:12:02",88
"2018-06-07 15:12:17",88
"2018-06-07 15:12:32",88
"2018-06-07 15:12:47",88
"2018-06-07 15:13:02",88
"2018-06-07 15:13:12",86
"2018-06-07 15:13:17",84
"2018-06-07 15:13:32",85
"2018-06-07 15:13:47",85
"2018-06-07 15:14:02",85
"2018-06-07 15:14:17",85
"2018-06-07 15:14:32",85
"2018-06-07 15:14:47",85
"2018-06-07 15:14:50",85
"2018-06-07 15:15:05",84
"2018-06-07 15:15:20",84
"2018-06-07 15:15:35",85
"2018-06-07 15:15:50",85
"2018-06-07 15:16:05",85
"2018-06-07 15:16:10",83
"2018-06-07 15:16:15",84
"2018-06-07 15:16:20",84
"2018-06-07 15:16:35",84
"2018-06-07 15:16:45",85
"2018-06-07 15:16:50",86
"2018-06-07 15:16:55",84
"2018-06-07 15:17:05",86
"2018-06-07 15:17:10",88
"2018-06-07 15:17:15",89
"2018-06-07 15:17:20",90
"2018-06-07 15:17:25",91
"2018-06-07 15:17:35",90
"2018-06-07 15:17:40",90
"2018-06-07 15:17:50",90
"2018-06-07 15:17:55",89
"2018-06-07 15:18:00",87
"2018-06-07 15:18:10",87
"2018-06-07 15:18:25",87
"2018-06-07 15:18:30",88
"2018-06-07 15:18:35",87
"2018-06-07 15:18:42",87
"2018-06-07 15:18:52",88
"2018-06-07 15:18:57",85
"2018-06-07 15:19:02",84
"2018-06-07 15:19:12",83
"2018-06-07 15:19:27",83
"2018-06-07 15:19:42",83
"2018-06-07 15:19:57",83
"2018-06-07 15:20:12",83
"2018-06-07 15:20:27",83
"2018-06-07 15:20:37",84
"2018-06-07 15:20:42",85
"2018-06-07 15:20:47",86
"2018-06-07 15:20:52",85
"2018-06-07 15:20:57",84
"2018-06-07 15:21:12",85
"2018-06-07 15:21:17",86
"2018-06-07 15:21:22",87
"2018-06-07 15:21:27",88
"2018-06-07 15:21:32",89
"2018-06-07 15:21:37",90
"2018-06-07 15:21:42",91
"2018-06-07 15:21:57",91
"2018-06-07 15:22:07",82
"2018-06-07 15:22:22",82
"2018-06-07 15:22:32",82
"2018-06-07 15:22:39",82
"2018-06-07 15:22:54",83
"2018-06-07 15:23:09",83
"2018-06-07 15:23:24",83
"2018-06-07 15:23:29",84
"2018-06-07 15:23:34",85
"2018-06-07 15:23:44",83
"2018-06-07 15:23:49",82
"2018-06-07 15:23:54",81
"2018-06-07 15:24:09",81
"2018-06-07 15:24:24",80
"2018-06-07 15:24:29",79
"2018-06-07 15:24:34",78
"2018-06-07 15:24:44",80
"2018-06-07 15:24:54",81
"2018-06-07 15:24:59",82
"2018-06-07 15:25:04",82
"2018-06-07 15:25:14",79
"2018-06-07 15:25:19",82
"2018-06-07 15:25:24",84
"2018-06-07 15:25:29",85
"2018-06-07 15:25:44",85
"2018-06-07 15:25:49",86
"2018-06-07 15:26:04",86
"2018-06-07 15:26:09",88
"2018-06-07 15:26:14",90
"2018-06-07 15:26:24",93
"2018-06-07 15:26:31",97
"2018-06-07 15:26:36",99
"2018-06-07 15:26:46",98
"2018-06-07 15:26:51",99
"2018-06-07 15:27:06",100
"2018-06-07 15:27:16",101
"2018-06-07 15:27:31",102
"2018-06-07 15:27:36",105
"2018-06-07 15:27:41",108
"2018-06-07 15:27:46",109
"2018-06-07 15:28:01",109
"2018-06-07 15:28:11",111
"2018-06-07 15:28:16",110
"2018-06-07 15:28:21",111
"2018-06-07 15:28:36",111
"2018-06-07 15:28:41",109
"2018-06-07 15:28:46",110
"2018-06-07 15:28:51",109
"2018-06-07 15:29:06",109
"2018-06-07 15:29:21",109
"2018-06-07 15:29:26",110
"2018-06-07 15:29:41",110
"2018-06-07 15:29:51",109
"2018-06-07 15:30:01",112
"2018-06-07 15:30:11",117
"2018-06-07 15:30:16",119
"2018-06-07 15:30:31",119
"2018-06-07 15:30:33",119
"2018-06-07 15:30:38",118
"2018-06-07 15:30:53",118
"2018-06-07 15:31:08",118
"2018-06-07 15:31:23",118
"2018-06-07 15:31:33",119
"2018-06-07 15:31:38",118
"2018-06-07 15:31:53",118
"2018-06-07 15:32:03",118
"2018-06-07 15:32:13",119
"2018-06-07 15:32:18",118
"2018-06-07 15:32:23",116
"2018-06-07 15:32:28",116
"2018-06-07 15:32:43",114
"2018-06-07 15:32:58",114
"2018-06-07 15:33:08",115
"2018-06-07 15:33:23",115
"2018-06-07 15:33:28",114
"2018-06-07 15:33:33",112
"2018-06-07 15:33:38",109
"2018-06-07 15:33:43",107
"2018-06-07 15:33:48",106
"2018-06-07 15:34:03",108
"2018-06-07 15:34:18",109
"2018-06-07 15:34:23",110
"2018-06-07 15:34:38",110
"2018-06-07 15:34:43",108
"2018-06-07 15:34:50",105
"2018-06-07 15:34:55",104
"2018-06-07 15:35:00",103
"2018-06-07 15:35:15",103
"2018-06-07 15:35:20",104
"2018-06-07 15:35:30",103
"2018-06-07 15:35:40",102
"2018-06-07 15:35:45",99
"2018-06-07 15:35:50",100
"2018-06-07 15:36:05",100
"2018-06-07 15:36:10",101
"2018-06-07 15:36:25",100
"2018-06-07 15:36:40",100
"2018-06-07 15:36:50",101
"2018-06-07 15:37:00",102
"2018-06-07 15:37:05",102
"2018-06-07 15:37:10",103
"2018-06-07 15:37:15",97
"2018-06-07 15:37:20",91
"2018-06-07 15:37:25",90
"2018-06-07 15:37:30",88
"2018-06-07 15:37:35",85
"2018-06-07 15:37:40",84
"2018-06-07 15:37:55",84
"2018-06-07 15:38:00",84
"2018-06-07 15:38:15",83
"2018-06-07 15:38:30",83
"2018-06-07 15:38:32",83
"2018-06-07 15:38:47",83
"2018-06-07 15:38:52",84
"2018-06-07 15:38:57",87
"2018-06-07 15:39:12",87
"2018-06-07 15:39:27",87
"2018-06-07 15:39:37",89
"2018-06-07 15:39:42",90
"2018-06-07 15:39:57",90
"2018-06-07 15:40:07",91
"2018-06-07 15:40:22",91
"2018-06-07 15:40:27",93
"2018-06-07 15:40:42",93
"2018-06-07 15:40:47",94
"2018-06-07 15:40:57",95
"2018-06-07 15:41:02",96
"2018-06-07 15:41:07",97
"2018-06-07 15:41:12",99
"2018-06-07 15:41:22",100
"2018-06-07 15:41:37",100
"2018-06-07 15:41:52",100
"2018-06-07 15:42:07",100
"2018-06-07 15:42:17",97
"2018-06-07 15:42:22",85
"2018-06-07 15:42:27",84
"2018-06-07 15:42:32",83
"2018-06-07 15:42:39",83
"2018-06-07 15:42:49",84
"2018-06-07 15:42:59",83
"2018-06-07 15:43:04",83
"2018-06-07 15:43:14",84
"2018-06-07 15:43:29",84
"2018-06-07 15:43:44",84
"2018-06-07 15:43:49",86
"2018-06-07 15:44:04",86
"2018-06-07 15:44:19",86
"2018-06-07 15:44:34",86
"2018-06-07 15:44:49",86
"2018-06-07 15:44:54",86
"2018-06-07 15:44:59",86
"2018-06-07 15:45:14",86
"2018-06-07 15:45:29",86
"2018-06-07 15:45:34",86
"2018-06-07 15:45:49",86
"2018-06-07 15:46:04",86
"2018-06-07 15:46:09",87
"2018-06-07 15:46:14",88
"2018-06-07 15:46:29",88
