time_readable,heart_rate_value
"2018-10-26 13:00:03",103
"2018-10-26 13:00:18",103
"2018-10-26 13:00:28",103
"2018-10-26 13:00:38",105
"2018-10-26 13:00:53",105
"2018-10-26 13:01:08",105
"2018-10-26 13:01:18",104
"2018-10-26 13:01:28",103
"2018-10-26 13:01:33",100
"2018-10-26 13:01:38",97
"2018-10-26 13:01:43",92
"2018-10-26 13:01:58",92
"2018-10-26 13:02:08",92
"2018-10-26 13:02:13",92
"2018-10-26 13:02:23",91
"2018-10-26 13:02:29",88
"2018-10-26 13:02:39",87
"2018-10-26 13:02:54",86
"2018-10-26 13:03:04",83
"2018-10-26 13:03:09",83
"2018-10-26 13:03:14",82
"2018-10-26 13:03:19",80
"2018-10-26 13:03:34",80
"2018-10-26 13:03:49",80
"2018-10-26 13:03:54",82
"2018-10-26 13:04:09",82
"2018-10-26 13:04:14",83
"2018-10-26 13:04:24",85
"2018-10-26 13:04:39",85
"2018-10-26 13:04:54",85
"2018-10-26 13:05:09",83
"2018-10-26 13:05:14",82
"2018-10-26 13:05:29",82
"2018-10-26 13:05:44",82
"2018-10-26 13:05:59",82
"2018-10-26 13:06:14",82
"2018-10-26 13:06:29",82
"2018-10-26 13:06:39",82
"2018-10-26 13:06:49",81
"2018-10-26 13:06:54",78
"2018-10-26 13:07:09",78
"2018-10-26 13:07:14",79
"2018-10-26 13:07:22",79
"2018-10-26 13:07:37",79
"2018-10-26 13:07:52",80
"2018-10-26 13:07:57",81
"2018-10-26 13:08:12",81
"2018-10-26 13:08:27",81
"2018-10-26 13:08:42",81
"2018-10-26 13:08:47",83
"2018-10-26 13:08:52",85
"2018-10-26 13:09:07",85
"2018-10-26 13:09:12",86
"2018-10-26 13:09:17",88
"2018-10-26 13:09:32",86
"2018-10-26 13:09:47",86
"2018-10-26 13:09:52",86
"2018-10-26 13:10:02",87
"2018-10-26 13:10:17",88
"2018-10-26 13:10:27",89
"2018-10-26 13:10:37",87
"2018-10-26 13:10:52",87
"2018-10-26 13:10:57",85
"2018-10-26 13:11:12",85
"2018-10-26 13:11:17",86
"2018-10-26 13:11:22",89
"2018-10-26 13:11:27",91
"2018-10-26 13:11:32",93
"2018-10-26 13:11:47",93
"2018-10-26 13:11:49",93
"2018-10-26 13:11:54",94
"2018-10-26 13:12:09",94
"2018-10-26 13:12:14",93
"2018-10-26 13:12:29",92
"2018-10-26 13:12:34",94
"2018-10-26 13:12:39",96
"2018-10-26 13:12:44",97
"2018-10-26 13:12:54",98
"2018-10-26 13:13:04",97
"2018-10-26 13:13:09",98
"2018-10-26 13:13:14",100
"2018-10-26 13:13:24",99
"2018-10-26 13:13:39",99
"2018-10-26 13:13:44",100
"2018-10-26 13:13:49",101
"2018-10-26 13:13:59",100
"2018-10-26 13:14:14",100
"2018-10-26 13:14:19",99
"2018-10-26 13:14:29",100
"2018-10-26 13:14:44",100
"2018-10-26 13:14:49",101
"2018-10-26 13:15:04",101
"2018-10-26 13:15:19",101
"2018-10-26 13:15:24",101
"2018-10-26 13:15:29",102
"2018-10-26 13:15:44",102
"2018-10-26 13:15:46",102
"2018-10-26 13:15:56",103
"2018-10-26 13:16:01",104
"2018-10-26 13:16:06",105
"2018-10-26 13:16:21",105
"2018-10-26 13:16:26",104
"2018-10-26 13:16:31",102
"2018-10-26 13:16:36",101
"2018-10-26 13:16:41",102
"2018-10-26 13:16:51",103
"2018-10-26 13:16:56",104
"2018-10-26 13:17:01",103
"2018-10-26 13:17:16",103
"2018-10-26 13:17:21",103
"2018-10-26 13:17:36",103
"2018-10-26 13:17:51",102
"2018-10-26 13:18:01",99
"2018-10-26 13:18:11",99
"2018-10-26 13:18:16",97
"2018-10-26 13:18:21",94
"2018-10-26 13:18:26",92
"2018-10-26 13:18:31",92
"2018-10-26 13:18:41",89
"2018-10-26 13:18:46",85
"2018-10-26 13:19:01",85
"2018-10-26 13:19:11",85
"2018-10-26 13:19:26",83
"2018-10-26 13:19:28",83
"2018-10-26 13:19:33",84
"2018-10-26 13:19:38",90
"2018-10-26 13:19:43",91
"2018-10-26 13:19:48",93
"2018-10-26 13:20:03",93
"2018-10-26 13:20:18",93
"2018-10-26 13:20:33",93
"2018-10-26 13:20:48",93
"2018-10-26 13:20:53",92
"2018-10-26 13:21:08",94
"2018-10-26 13:21:13",99
"2018-10-26 13:21:18",101
"2018-10-26 13:21:23",102
"2018-10-26 13:21:28",101
"2018-10-26 13:21:43",100
"2018-10-26 13:21:58",100
"2018-10-26 13:22:03",102
"2018-10-26 13:22:13",101
"2018-10-26 13:22:28",101
"2018-10-26 13:22:43",101
"2018-10-26 13:22:53",100
"2018-10-26 13:23:03",103
"2018-10-26 13:23:13",103
"2018-10-26 13:23:18",103
"2018-10-26 13:23:33",103
"2018-10-26 13:23:38",104
"2018-10-26 13:23:46",104
"2018-10-26 13:23:51",107
"2018-10-26 13:23:56",105
"2018-10-26 13:24:01",101
"2018-10-26 13:24:06",100
"2018-10-26 13:24:11",101
"2018-10-26 13:24:16",96
"2018-10-26 13:24:21",95
"2018-10-26 13:24:26",98
"2018-10-26 13:24:31",96
"2018-10-26 13:24:36",95
"2018-10-26 13:24:41",94
"2018-10-26 13:24:51",95
"2018-10-26 13:24:56",96
"2018-10-26 13:25:01",97
"2018-10-26 13:25:11",96
"2018-10-26 13:25:16",95
"2018-10-26 13:25:21",97
"2018-10-26 13:25:26",100
"2018-10-26 13:25:31",101
"2018-10-26 13:25:36",99
"2018-10-26 13:25:41",102
"2018-10-26 13:25:46",104
"2018-10-26 13:25:51",105
"2018-10-26 13:26:01",105
"2018-10-26 13:26:16",103
"2018-10-26 13:26:31",103
"2018-10-26 13:26:32",103
"2018-10-26 13:26:37",102
"2018-10-26 13:26:42",102
"2018-10-26 13:26:57",101
"2018-10-26 13:27:02",101
"2018-10-26 13:27:07",101
"2018-10-26 13:27:22",101
"2018-10-26 13:27:27",102
"2018-10-26 13:27:37",101
"2018-10-26 13:27:52",102
