time_readable,heart_rate_value
"2018-04-13 15:00:07",94
"2018-04-13 15:00:22",94
"2018-04-13 15:00:37",94
"2018-04-13 15:00:42",95
"2018-04-13 15:00:57",95
"2018-04-13 15:01:07",94
"2018-04-13 15:01:12",95
"2018-04-13 15:01:17",93
"2018-04-13 15:01:27",94
"2018-04-13 15:01:42",94
"2018-04-13 15:01:57",94
"2018-04-13 15:02:12",94
"2018-04-13 15:02:27",94
"2018-04-13 15:02:30",94
"2018-04-13 15:02:45",94
"2018-04-13 15:02:50",93
"2018-04-13 15:02:55",92
"2018-04-13 15:03:05",89
"2018-04-13 15:03:10",88
"2018-04-13 15:03:25",88
"2018-04-13 15:03:30",89
"2018-04-13 15:03:45",89
"2018-04-13 15:04:00",89
"2018-04-13 15:04:05",90
"2018-04-13 15:04:10",91
"2018-04-13 15:04:25",91
"2018-04-13 15:04:30",93
"2018-04-13 15:04:45",93
"2018-04-13 15:04:50",91
"2018-04-13 15:05:05",91
"2018-04-13 15:05:20",91
"2018-04-13 15:05:25",92
"2018-04-13 15:05:40",92
"2018-04-13 15:05:55",92
"2018-04-13 15:06:10",92
"2018-04-13 15:06:20",93
"2018-04-13 15:06:35",93
"2018-04-13 15:06:50",92
"2018-04-13 15:06:55",92
"2018-04-13 15:07:00",92
"2018-04-13 15:07:08",92
"2018-04-13 15:07:13",93
"2018-04-13 15:07:18",94
"2018-04-13 15:07:33",94
"2018-04-13 15:07:48",94
"2018-04-13 15:08:03",94
"2018-04-13 15:08:18",94
"2018-04-13 15:08:28",93
"2018-04-13 15:08:33",90
"2018-04-13 15:08:48",90
"2018-04-13 15:08:53",91
"2018-04-13 15:09:08",91
"2018-04-13 15:09:23",91
"2018-04-13 15:09:38",91
"2018-04-13 15:09:53",91
"2018-04-13 15:10:08",91
"2018-04-13 15:10:23",91
"2018-04-13 15:10:38",91
"2018-04-13 15:10:53",92
"2018-04-13 15:11:03",91
"2018-04-13 15:11:08",91
"2018-04-13 15:11:23",91
"2018-04-13 15:11:28",92
"2018-04-13 15:11:33",93
"2018-04-13 15:11:38",94
"2018-04-13 15:11:53",94
"2018-04-13 15:12:08",94
"2018-04-13 15:12:10",94
"2018-04-13 15:12:25",94
"2018-04-13 15:12:35",96
"2018-04-13 15:12:50",96
"2018-04-13 15:13:05",96
"2018-04-13 15:13:10",95
"2018-04-13 15:13:20",96
"2018-04-13 15:13:25",97
"2018-04-13 15:13:35",99
"2018-04-13 15:13:50",99
"2018-04-13 15:14:05",99
"2018-04-13 15:14:20",99
"2018-04-13 15:14:25",98
"2018-04-13 15:14:40",98
"2018-04-13 15:14:50",99
"2018-04-13 15:15:05",99
"2018-04-13 15:15:20",99
"2018-04-13 15:15:35",99
"2018-04-13 15:15:50",99
"2018-04-13 15:16:05",99
"2018-04-13 15:16:10",99
"2018-04-13 15:16:20",98
"2018-04-13 15:16:35",98
"2018-04-13 15:16:45",99
"2018-04-13 15:17:00",98
"2018-04-13 15:17:05",99
"2018-04-13 15:17:20",99
"2018-04-13 15:17:23",99
"2018-04-13 15:17:33",100
"2018-04-13 15:17:38",101
"2018-04-13 15:17:43",104
"2018-04-13 15:17:58",104
"2018-04-13 15:18:03",105
"2018-04-13 15:18:18",105
"2018-04-13 15:18:33",105
"2018-04-13 15:18:48",105
"2018-04-13 15:19:03",105
"2018-04-13 15:19:18",106
"2018-04-13 15:19:28",106
"2018-04-13 15:19:43",106
"2018-04-13 15:19:58",106
"2018-04-13 15:20:08",105
"2018-04-13 15:20:13",106
"2018-04-13 15:20:23",107
"2018-04-13 15:20:38",107
"2018-04-13 15:20:53",107
"2018-04-13 15:21:08",107
"2018-04-13 15:21:13",107
"2018-04-13 15:21:18",105
"2018-04-13 15:21:33",104
"2018-04-13 15:21:48",104
"2018-04-13 15:21:58",104
"2018-04-13 15:22:13",104
"2018-04-13 15:22:28",103
"2018-04-13 15:22:30",103
"2018-04-13 15:22:40",103
"2018-04-13 15:22:50",103
"2018-04-13 15:22:55",103
"2018-04-13 15:23:10",103
"2018-04-13 15:23:20",103
"2018-04-13 15:23:25",104
"2018-04-13 15:23:40",104
"2018-04-13 15:23:55",104
"2018-04-13 15:24:10",104
"2018-04-13 15:24:25",104
"2018-04-13 15:24:30",104
"2018-04-13 15:24:35",105
"2018-04-13 15:24:50",105
"2018-04-13 15:25:00",107
"2018-04-13 15:25:15",106
"2018-04-13 15:25:25",107
"2018-04-13 15:25:30",106
"2018-04-13 15:25:40",103
"2018-04-13 15:25:55",102
"2018-04-13 15:26:10",102
"2018-04-13 15:26:25",102
"2018-04-13 15:26:40",103
"2018-04-13 15:26:55",100
"2018-04-13 15:27:00",97
"2018-04-13 15:27:10",97
"2018-04-13 15:27:25",97
"2018-04-13 15:27:28",97
"2018-04-13 15:27:43",97
"2018-04-13 15:27:48",96
"2018-04-13 15:28:03",96
"2018-04-13 15:28:08",95
"2018-04-13 15:28:23",95
"2018-04-13 15:28:28",95
"2018-04-13 15:28:33",95
"2018-04-13 15:28:48",95
"2018-04-13 15:29:03",95
"2018-04-13 15:29:18",95
"2018-04-13 15:29:33",95
"2018-04-13 15:29:48",95
"2018-04-13 15:30:03",95
"2018-04-13 15:30:18",95
"2018-04-13 15:30:28",97
"2018-04-13 15:30:43",96
"2018-04-13 15:30:48",94
"2018-04-13 15:30:53",93
"2018-04-13 15:31:08",93
"2018-04-13 15:31:13",92
"2018-04-13 15:31:23",91
"2018-04-13 15:31:28",90
"2018-04-13 15:31:33",89
"2018-04-13 15:31:38",89
"2018-04-13 15:31:53",89
"2018-04-13 15:31:58",89
"2018-04-13 15:32:05",89
"2018-04-13 15:32:10",88
"2018-04-13 15:32:25",87
"2018-04-13 15:32:30",81
"2018-04-13 15:32:35",79
"2018-04-13 15:32:45",77
"2018-04-13 15:32:50",76
"2018-04-13 15:33:05",76
"2018-04-13 15:33:10",77
"2018-04-13 15:33:20",78
"2018-04-13 15:33:30",77
"2018-04-13 15:33:35",76
"2018-04-13 15:33:50",76
"2018-04-13 15:34:05",76
"2018-04-13 15:34:10",77
"2018-04-13 15:34:15",78
"2018-04-13 15:34:20",79
"2018-04-13 15:34:25",78
"2018-04-13 15:34:30",77
"2018-04-13 15:34:40",80
"2018-04-13 15:34:45",81
"2018-04-13 15:34:50",87
"2018-04-13 15:35:05",87
"2018-04-13 15:35:15",87
"2018-04-13 15:35:30",87
"2018-04-13 15:35:45",87
"2018-04-13 15:36:00",87
"2018-04-13 15:36:01",87
"2018-04-13 15:36:16",89
"2018-04-13 15:36:31",89
"2018-04-13 15:36:46",88
"2018-04-13 15:36:51",87
"2018-04-13 15:36:56",87
"2018-04-13 15:37:11",87
"2018-04-13 15:37:16",86
"2018-04-13 15:37:26",85
"2018-04-13 15:37:31",83
"2018-04-13 15:37:46",83
"2018-04-13 15:38:01",85
"2018-04-13 15:38:06",85
"2018-04-13 15:38:11",84
"2018-04-13 15:38:21",83
"2018-04-13 15:38:31",83
"2018-04-13 15:38:46",83
"2018-04-13 15:39:01",83
"2018-04-13 15:39:11",82
"2018-04-13 15:39:26",82
"2018-04-13 15:39:31",83
"2018-04-13 15:39:41",84
"2018-04-13 15:39:46",85
"2018-04-13 15:39:51",86
"2018-04-13 15:40:06",86
"2018-04-13 15:40:21",86
"2018-04-13 15:40:31",87
"2018-04-13 15:40:39",87
"2018-04-13 15:40:44",88
"2018-04-13 15:40:49",89
"2018-04-13 15:41:04",90
"2018-04-13 15:41:14",89
"2018-04-13 15:41:29",89
"2018-04-13 15:41:39",90
"2018-04-13 15:41:49",91
"2018-04-13 15:41:54",92
"2018-04-13 15:42:09",92
"2018-04-13 15:42:24",92
"2018-04-13 15:42:39",92
"2018-04-13 15:42:54",92
"2018-04-13 15:43:04",91
"2018-04-13 15:43:19",91
"2018-04-13 15:43:34",91
"2018-04-13 15:43:39",92
"2018-04-13 15:43:54",92
"2018-04-13 15:44:09",92
"2018-04-13 15:44:14",93
"2018-04-13 15:44:19",96
"2018-04-13 15:44:24",95
"2018-04-13 15:44:39",95
"2018-04-13 15:44:54",95
"2018-04-13 15:45:09",95
"2018-04-13 15:45:24",94
"2018-04-13 15:45:39",94
"2018-04-13 15:45:41",94
"2018-04-13 15:45:56",94
"2018-04-13 15:46:01",92
"2018-04-13 15:46:16",92
"2018-04-13 15:46:31",92
"2018-04-13 15:46:41",92
"2018-04-13 15:46:56",92
"2018-04-13 15:47:01",91
"2018-04-13 15:47:06",91
"2018-04-13 15:47:16",91
"2018-04-13 15:47:31",91
"2018-04-13 15:47:36",91
"2018-04-13 15:47:51",91
"2018-04-13 15:47:56",92
"2018-04-13 15:48:06",93
"2018-04-13 15:48:21",93
"2018-04-13 15:48:36",93
"2018-04-13 15:48:41",90
"2018-04-13 15:48:56",90
"2018-04-13 15:49:11",88
"2018-04-13 15:49:26",88
"2018-04-13 15:49:41",87
"2018-04-13 15:49:56",87
"2018-04-13 15:50:11",87
"2018-04-13 15:50:26",87
"2018-04-13 15:50:41",87
"2018-04-13 15:50:46",88
"2018-04-13 15:50:54",88
"2018-04-13 15:51:09",88
"2018-04-13 15:51:19",91
"2018-04-13 15:51:24",93
"2018-04-13 15:51:39",93
"2018-04-13 15:51:54",93
"2018-04-13 15:52:04",92
"2018-04-13 15:52:09",93
"2018-04-13 15:52:19",94
"2018-04-13 15:52:34",97
"2018-04-13 15:52:44",98
"2018-04-13 15:52:59",99
"2018-04-13 15:53:14",99
"2018-04-13 15:53:29",99
"2018-04-13 15:53:44",100
"2018-04-13 15:53:54",101
"2018-04-13 15:53:59",102
"2018-04-13 15:54:04",103
"2018-04-13 15:54:09",103
"2018-04-13 15:54:24",103
"2018-04-13 15:54:29",105
"2018-04-13 15:54:34",106
"2018-04-13 15:54:39",108
"2018-04-13 15:54:44",109
"2018-04-13 15:54:49",110
"2018-04-13 15:54:54",111
"2018-04-13 15:54:59",112
"2018-04-13 15:55:06",112
"2018-04-13 15:55:21",112
"2018-04-13 15:55:31",113
"2018-04-13 15:55:36",112
"2018-04-13 15:55:51",112
"2018-04-13 15:55:56",113
"2018-04-13 15:56:06",112
"2018-04-13 15:56:11",114
"2018-04-13 15:56:26",114
"2018-04-13 15:56:31",114
"2018-04-13 15:56:36",115
"2018-04-13 15:56:41",114
