time_readable,heart_rate_value
"2018-03-01 16:33:39",70
"2018-03-01 16:33:54",70
"2018-03-01 16:33:59",74
"2018-03-01 16:34:04",79
"2018-03-01 16:34:09",88
"2018-03-01 16:34:14",82
"2018-03-01 16:34:19",82
"2018-03-01 16:34:34",82
"2018-03-01 16:34:39",73
"2018-03-01 16:34:44",69
"2018-03-01 16:34:49",67
"2018-03-01 16:34:54",66
"2018-03-01 16:34:59",67
"2018-03-01 16:35:14",68
"2018-03-01 16:35:19",73
"2018-03-01 16:35:24",78
"2018-03-01 16:35:29",79
"2018-03-01 16:35:44",78
"2018-03-01 16:35:54",77
"2018-03-01 16:36:04",76
"2018-03-01 16:36:09",75
"2018-03-01 16:36:24",74
"2018-03-01 16:36:29",72
"2018-03-01 16:36:44",73
"2018-03-01 16:36:49",74
"2018-03-01 16:36:56",75
"2018-03-01 16:37:01",77
"2018-03-01 16:37:06",78
"2018-03-01 16:37:21",78
"2018-03-01 16:37:36",78
"2018-03-01 16:37:51",80
"2018-03-01 16:37:56",83
"2018-03-01 16:38:01",85
"2018-03-01 16:38:11",84
"2018-03-01 16:38:21",89
"2018-03-01 16:38:26",91
"2018-03-01 16:38:31",93
"2018-03-01 16:38:36",95
"2018-03-01 16:38:41",93
"2018-03-01 16:38:51",95
"2018-03-01 16:38:56",97
"2018-03-01 16:39:01",99
"2018-03-01 16:39:06",100
"2018-03-01 16:39:21",99
"2018-03-01 16:39:26",86
"2018-03-01 16:39:31",85
"2018-03-01 16:39:41",86
"2018-03-01 16:39:51",87
"2018-03-01 16:39:56",87
"2018-03-01 16:40:01",89
"2018-03-01 16:40:06",90
"2018-03-01 16:40:12",90
"2018-03-01 16:40:27",90
"2018-03-01 16:40:32",86
"2018-03-01 16:40:37",83
"2018-03-01 16:40:42",85
"2018-03-01 16:40:52",83
"2018-03-01 16:40:57",86
"2018-03-01 16:41:02",87
"2018-03-01 16:41:07",90
"2018-03-01 16:41:12",91
"2018-03-01 16:41:17",93
"2018-03-01 16:41:22",97
"2018-03-01 16:41:27",99
"2018-03-01 16:41:32",100
"2018-03-01 16:41:42",98
"2018-03-01 16:41:47",99
"2018-03-01 16:41:52",101
"2018-03-01 16:41:57",103
"2018-03-01 16:42:02",105
"2018-03-01 16:42:12",103
"2018-03-01 16:42:22",108
"2018-03-01 16:42:27",107
"2018-03-01 16:42:37",109
"2018-03-01 16:42:42",106
"2018-03-01 16:42:47",104
"2018-03-01 16:42:52",101
"2018-03-01 16:43:02",104
"2018-03-01 16:43:09",108
"2018-03-01 16:43:14",109
"2018-03-01 16:43:19",107
"2018-03-01 16:43:34",108
"2018-03-01 16:43:39",109
"2018-03-01 16:43:49",107
"2018-03-01 16:43:54",106
"2018-03-01 16:43:59",108
"2018-03-01 16:44:04",109
"2018-03-01 16:44:09",110
"2018-03-01 16:44:14",109
"2018-03-01 16:44:29",109
"2018-03-01 16:44:44",106
"2018-03-01 16:44:49",102
"2018-03-01 16:44:54",101
"2018-03-01 16:44:59",100
"2018-03-01 16:45:04",99
"2018-03-01 16:45:09",96
"2018-03-01 16:45:14",96
"2018-03-01 16:45:19",97
"2018-03-01 16:45:24",93
"2018-03-01 16:45:29",92
"2018-03-01 16:45:34",93
"2018-03-01 16:45:49",93
"2018-03-01 16:45:59",94
"2018-03-01 16:46:09",96
"2018-03-01 16:46:24",96
"2018-03-01 16:46:26",96
"2018-03-01 16:46:36",93
"2018-03-01 16:46:41",91
"2018-03-01 16:46:46",91
"2018-03-01 16:46:56",89
"2018-03-01 16:47:01",90
"2018-03-01 16:47:06",90
"2018-03-01 16:47:16",89
"2018-03-01 16:47:21",87
"2018-03-01 16:47:26",85
"2018-03-01 16:47:31",92
"2018-03-01 16:47:36",93
"2018-03-01 16:47:51",93
"2018-03-01 16:48:06",91
"2018-03-01 16:48:11",91
"2018-03-01 16:48:16",90
"2018-03-01 16:48:21",88
"2018-03-01 16:48:26",85
"2018-03-01 16:48:31",84
"2018-03-01 16:48:36",80
"2018-03-01 16:48:41",76
"2018-03-01 16:48:46",78
"2018-03-01 16:48:51",77
"2018-03-01 16:49:06",77
"2018-03-01 16:49:11",80
"2018-03-01 16:49:16",81
"2018-03-01 16:49:21",83
"2018-03-01 16:49:28",82
"2018-03-01 16:49:33",84
"2018-03-01 16:49:38",86
"2018-03-01 16:49:48",85
"2018-03-01 16:49:58",86
"2018-03-01 16:50:13",86
"2018-03-01 16:50:28",85
"2018-03-01 16:50:33",86
"2018-03-01 16:50:48",86
"2018-03-01 16:51:03",86
"2018-03-01 16:51:08",83
"2018-03-01 16:51:13",82
"2018-03-01 16:51:28",82
"2018-03-01 16:51:38",83
"2018-03-01 16:51:43",81
"2018-03-01 16:51:58",80
"2018-03-01 16:52:13",81
"2018-03-01 16:52:18",81
"2018-03-01 16:52:23",78
"2018-03-01 16:52:28",79
"2018-03-01 16:52:33",75
"2018-03-01 16:52:38",76
"2018-03-01 16:52:43",76
"2018-03-01 16:52:53",77
"2018-03-01 16:52:58",77
"2018-03-01 16:53:08",79
"2018-03-01 16:53:23",79
"2018-03-01 16:53:25",79
"2018-03-01 16:53:35",83
"2018-03-01 16:53:40",81
"2018-03-01 16:53:45",79
"2018-03-01 16:53:50",79
"2018-03-01 16:53:55",78
"2018-03-01 16:54:00",79
"2018-03-01 16:54:15",79
"2018-03-01 16:54:20",87
"2018-03-01 16:54:25",87
"2018-03-01 16:54:30",86
"2018-03-01 16:54:35",83
"2018-03-01 16:54:40",80
"2018-03-01 16:54:45",79
"2018-03-01 16:54:50",80
"2018-03-01 16:54:55",80
"2018-03-01 16:55:05",79
"2018-03-01 16:55:10",78
"2018-03-01 16:55:15",77
"2018-03-01 16:55:20",75
"2018-03-01 16:55:35",74
"2018-03-01 16:55:40",75
"2018-03-01 16:55:55",75
"2018-03-01 16:56:00",76
"2018-03-01 16:56:05",77
"2018-03-01 16:56:10",78
"2018-03-01 16:56:16",78
"2018-03-01 16:56:21",79
"2018-03-01 16:56:36",79
"2018-03-01 16:56:51",79
"2018-03-01 16:56:56",80
"2018-03-01 16:57:06",77
"2018-03-01 16:57:11",76
"2018-03-01 16:57:16",76
"2018-03-01 16:57:31",76
"2018-03-01 16:57:36",76
"2018-03-01 16:57:41",76
"2018-03-01 16:57:51",75
"2018-03-01 16:58:01",73
"2018-03-01 16:58:06",72
"2018-03-01 16:58:11",72
"2018-03-01 16:58:21",73
"2018-03-01 16:58:26",73
"2018-03-01 16:58:31",77
"2018-03-01 16:58:36",75
"2018-03-01 16:58:41",76
"2018-03-01 16:58:46",77
"2018-03-01 16:58:51",76
"2018-03-01 16:58:56",78
"2018-03-01 16:59:01",81
"2018-03-01 16:59:11",79
"2018-03-01 16:59:16",79
"2018-03-01 16:59:21",80
"2018-03-01 16:59:28",81
"2018-03-01 16:59:33",80
"2018-03-01 16:59:38",78
"2018-03-01 16:59:43",79
"2018-03-01 16:59:48",78
"2018-03-01 16:59:58",76
"2018-03-01 17:00:03",74
"2018-03-01 17:00:18",76
"2018-03-01 17:00:23",77
"2018-03-01 17:00:33",78
"2018-03-01 17:00:38",79
"2018-03-01 17:00:43",80
"2018-03-01 17:00:53",78
"2018-03-01 17:01:03",78
"2018-03-01 17:01:13",85
"2018-03-01 17:01:18",81
"2018-03-01 17:01:23",82
"2018-03-01 17:01:28",78
"2018-03-01 17:01:33",77
"2018-03-01 17:01:38",78
"2018-03-01 17:01:43",79
"2018-03-01 17:01:48",80
"2018-03-01 17:01:53",81
"2018-03-01 17:01:58",81
"2018-03-01 17:02:03",80
"2018-03-01 17:02:13",81
"2018-03-01 17:02:18",82
"2018-03-01 17:02:25",86
"2018-03-01 17:02:30",90
"2018-03-01 17:02:35",89
"2018-03-01 17:02:40",87
"2018-03-01 17:02:45",85
"2018-03-01 17:02:50",84
"2018-03-01 17:02:55",84
"2018-03-01 17:03:00",81
"2018-03-01 17:03:05",76
"2018-03-01 17:03:10",73
"2018-03-01 17:03:15",72
"2018-03-01 17:03:25",74
"2018-03-01 17:03:35",73
"2018-03-01 17:03:40",74
"2018-03-01 17:03:45",79
"2018-03-01 17:03:50",81
"2018-03-01 17:03:55",83
"2018-03-01 17:04:00",86
"2018-03-01 17:04:10",84
"2018-03-01 17:04:15",83
"2018-03-01 17:04:30",81
"2018-03-01 17:04:35",80
"2018-03-01 17:04:40",84
"2018-03-01 17:04:45",83
"2018-03-01 17:04:50",83
"2018-03-01 17:05:00",82
"2018-03-01 17:05:10",83
"2018-03-01 17:05:17",79
"2018-03-01 17:05:22",78
"2018-03-01 17:05:27",77
"2018-03-01 17:05:32",78
"2018-03-01 17:05:42",79
"2018-03-01 17:05:47",84
"2018-03-01 17:05:52",88
"2018-03-01 17:05:57",82
"2018-03-01 17:06:02",83
"2018-03-01 17:06:07",84
"2018-03-01 17:06:17",76
"2018-03-01 17:06:22",75
"2018-03-01 17:06:27",80
"2018-03-01 17:06:37",81
"2018-03-01 17:06:42",82
"2018-03-01 17:06:47",86
"2018-03-01 17:06:52",87
"2018-03-01 17:06:57",86
"2018-03-01 17:07:02",82
"2018-03-01 17:07:07",79
"2018-03-01 17:07:12",78
"2018-03-01 17:07:17",79
"2018-03-01 17:07:27",80
"2018-03-01 17:07:32",84
"2018-03-01 17:07:37",86
"2018-03-01 17:07:42",85
"2018-03-01 17:07:47",84
"2018-03-01 17:07:53",78
"2018-03-01 17:07:58",77
"2018-03-01 17:08:03",78
"2018-03-01 17:08:08",77
"2018-03-01 17:08:13",78
"2018-03-01 17:08:18",79
"2018-03-01 17:08:28",77
"2018-03-01 17:08:38",77
"2018-03-01 17:08:43",77
"2018-03-01 17:08:48",78
"2018-03-01 17:08:58",79
"2018-03-01 17:09:03",77
"2018-03-01 17:09:08",78
"2018-03-01 17:09:18",78
"2018-03-01 17:09:23",77
"2018-03-01 17:09:33",75
"2018-03-01 17:09:38",75
"2018-03-01 17:09:43",75
"2018-03-01 17:09:48",77
"2018-03-01 17:09:58",74
"2018-03-01 17:10:08",74
"2018-03-01 17:10:13",78
"2018-03-01 17:10:18",81
"2018-03-01 17:10:23",87
"2018-03-01 17:10:33",85
"2018-03-01 17:10:38",80
"2018-03-01 17:10:43",81
"2018-03-01 17:10:49",81
"2018-03-01 17:10:54",77
"2018-03-01 17:10:59",83
"2018-03-01 17:11:09",82
"2018-03-01 17:11:14",79
"2018-03-01 17:11:19",78
"2018-03-01 17:11:29",77
"2018-03-01 17:11:34",78
"2018-03-01 17:11:39",80
"2018-03-01 17:11:49",78
"2018-03-01 17:11:54",81
"2018-03-01 17:11:59",78
"2018-03-01 17:12:04",77
"2018-03-01 17:12:09",79
"2018-03-01 17:12:14",77
"2018-03-01 17:12:19",77
"2018-03-01 17:12:24",76
"2018-03-01 17:12:29",74
"2018-03-01 17:12:34",76
"2018-03-01 17:12:44",75
"2018-03-01 17:12:49",77
"2018-03-01 17:12:54",78
"2018-03-01 17:12:59",77
"2018-03-01 17:13:04",78
"2018-03-01 17:13:09",77
"2018-03-01 17:13:19",78
"2018-03-01 17:13:29",80
"2018-03-01 17:13:36",84
"2018-03-01 17:13:46",83
"2018-03-01 17:13:56",85
"2018-03-01 17:14:01",81
"2018-03-01 17:14:06",83
"2018-03-01 17:14:16",77
"2018-03-01 17:14:21",78
"2018-03-01 17:14:31",80
"2018-03-01 17:14:36",77
"2018-03-01 17:14:41",76
"2018-03-01 17:14:46",74
"2018-03-01 17:14:51",75
"2018-03-01 17:14:56",76
"2018-03-01 17:15:01",77
"2018-03-01 17:15:06",78
"2018-03-01 17:15:11",80
"2018-03-01 17:15:16",83
"2018-03-01 17:15:26",81
"2018-03-01 17:15:31",79
"2018-03-01 17:15:46",77
"2018-03-01 17:15:51",78
"2018-03-01 17:15:56",77
"2018-03-01 17:16:01",78
"2018-03-01 17:16:06",79
"2018-03-01 17:16:16",78
"2018-03-01 17:16:21",79
"2018-03-01 17:16:31",80
"2018-03-01 17:16:38",82
"2018-03-01 17:16:43",82
"2018-03-01 17:16:48",77
"2018-03-01 17:16:58",79
"2018-03-01 17:17:03",77
"2018-03-01 17:17:13",78
"2018-03-01 17:17:28",76
"2018-03-01 17:17:38",79
"2018-03-01 17:17:43",80
"2018-03-01 17:17:48",75
"2018-03-01 17:17:58",76
"2018-03-01 17:18:03",79
"2018-03-01 17:18:08",76
"2018-03-01 17:18:13",77
"2018-03-01 17:18:18",76
"2018-03-01 17:18:23",77
"2018-03-01 17:18:28",78
"2018-03-01 17:18:33",77
"2018-03-01 17:18:38",85
"2018-03-01 17:18:43",83
"2018-03-01 17:18:48",82
"2018-03-01 17:18:53",80
"2018-03-01 17:18:58",85
"2018-03-01 17:19:03",84
"2018-03-01 17:19:08",80
"2018-03-01 17:19:13",76
"2018-03-01 17:19:19",72
"2018-03-01 17:19:24",72
"2018-03-01 17:19:29",73
"2018-03-01 17:19:34",73
"2018-03-01 17:19:39",77
"2018-03-01 17:19:44",84
"2018-03-01 17:19:49",83
"2018-03-01 17:19:54",82
"2018-03-01 17:19:59",83
"2018-03-01 17:20:04",77
"2018-03-01 17:20:09",79
"2018-03-01 17:20:14",73
"2018-03-01 17:20:19",74
"2018-03-01 17:20:24",75
"2018-03-01 17:20:29",76
"2018-03-01 17:20:34",79
"2018-03-01 17:20:39",81
"2018-03-01 17:20:44",82
"2018-03-01 17:20:49",83
"2018-03-01 17:20:54",88
"2018-03-01 17:20:59",89
"2018-03-01 17:21:09",89
"2018-03-01 17:21:14",82
"2018-03-01 17:21:19",77
"2018-03-01 17:21:24",75
"2018-03-01 17:21:39",76
"2018-03-01 17:21:49",78
"2018-03-01 17:21:55",76
"2018-03-01 17:22:00",75
"2018-03-01 17:22:05",74
"2018-03-01 17:22:10",74
"2018-03-01 17:22:15",72
"2018-03-01 17:22:20",74
"2018-03-01 17:22:30",77
"2018-03-01 17:22:35",78
"2018-03-01 17:22:40",82
"2018-03-01 17:22:45",87
"2018-03-01 17:22:50",82
"2018-03-01 17:22:55",79
"2018-03-01 17:23:00",84
"2018-03-01 17:23:05",84
"2018-03-01 17:23:10",75
"2018-03-01 17:23:20",74
"2018-03-01 17:23:30",75
"2018-03-01 17:23:40",77
"2018-03-01 17:23:55",78
"2018-03-01 17:24:05",79
"2018-03-01 17:24:10",79
"2018-03-01 17:24:15",80
"2018-03-01 17:24:25",81
"2018-03-01 17:24:30",86
"2018-03-01 17:24:35",88
"2018-03-01 17:24:40",90
"2018-03-01 17:24:46",91
"2018-03-01 17:24:51",88
"2018-03-01 17:24:56",84
"2018-03-01 17:25:01",85
"2018-03-01 17:25:11",84
"2018-03-01 17:25:16",83
"2018-03-01 17:25:21",79
"2018-03-01 17:25:26",84
"2018-03-01 17:25:31",88
"2018-03-01 17:25:36",84
"2018-03-01 17:25:41",82
"2018-03-01 17:25:46",78
"2018-03-01 17:25:51",79
"2018-03-01 17:25:56",80
"2018-03-01 17:26:06",84
"2018-03-01 17:26:11",86
"2018-03-01 17:26:16",84
"2018-03-01 17:26:21",86
"2018-03-01 17:26:31",86
"2018-03-01 17:26:41",82
"2018-03-01 17:26:46",84
"2018-03-01 17:26:56",80
"2018-03-01 17:27:01",85
"2018-03-01 17:27:06",83
"2018-03-01 17:27:11",80
"2018-03-01 17:27:16",82
"2018-03-01 17:27:26",83
"2018-03-01 17:27:33",83
"2018-03-01 17:27:38",84
"2018-03-01 17:27:53",85
"2018-03-01 17:27:58",84
"2018-03-01 17:28:03",84
"2018-03-01 17:28:08",82
"2018-03-01 17:28:13",83
"2018-03-01 17:28:18",75
"2018-03-01 17:28:23",73
"2018-03-01 17:28:28",74
"2018-03-01 17:28:33",73
"2018-03-01 17:28:38",79
"2018-03-01 17:28:43",77
"2018-03-01 17:28:48",74
"2018-03-01 17:28:53",73
"2018-03-01 17:28:58",77
"2018-03-01 17:29:03",78
"2018-03-01 17:29:08",79
"2018-03-01 17:29:18",82
"2018-03-01 17:29:23",81
"2018-03-01 17:29:28",82
"2018-03-01 17:29:33",89
"2018-03-01 17:29:43",92
"2018-03-01 17:29:48",97
"2018-03-01 17:29:53",96
"2018-03-01 17:29:58",82
"2018-03-01 17:30:04",79
"2018-03-01 17:30:14",81
"2018-03-01 17:30:19",78
"2018-03-01 17:30:24",81
"2018-03-01 17:30:29",82
"2018-03-01 17:30:39",83
"2018-03-01 17:30:44",85
"2018-03-01 17:30:49",85
"2018-03-01 17:30:54",86
"2018-03-01 17:30:59",77
"2018-03-01 17:31:04",79
"2018-03-01 17:31:09",72
"2018-03-01 17:31:19",73
"2018-03-01 17:31:24",74
"2018-03-01 17:31:29",75
"2018-03-01 17:31:34",76
"2018-03-01 17:31:39",81
"2018-03-01 17:31:44",76
"2018-03-01 17:31:54",77
"2018-03-01 17:31:59",78
"2018-03-01 17:32:04",79
"2018-03-01 17:32:09",82
"2018-03-01 17:32:14",84
"2018-03-01 17:32:19",85
"2018-03-01 17:32:29",82
"2018-03-01 17:32:34",78
"2018-03-01 17:32:41",74
"2018-03-01 17:32:46",78
"2018-03-01 17:32:51",82
"2018-03-01 17:32:56",85
"2018-03-01 17:33:01",80
"2018-03-01 17:33:06",80
"2018-03-01 17:33:11",79
"2018-03-01 17:33:21",76
"2018-03-01 17:33:26",76
"2018-03-01 17:33:31",81
"2018-03-01 17:33:36",82
"2018-03-01 17:33:46",77
"2018-03-01 17:33:56",79
"2018-03-01 17:34:01",72
"2018-03-01 17:34:06",71
"2018-03-01 17:34:11",72
"2018-03-01 17:34:21",76
"2018-03-01 17:34:26",75
"2018-03-01 17:34:36",77
"2018-03-01 17:34:41",73
"2018-03-01 17:34:46",74
"2018-03-01 17:34:51",76
"2018-03-01 17:34:56",73
"2018-03-01 17:35:06",74
"2018-03-01 17:35:11",75
"2018-03-01 17:35:16",73
"2018-03-01 17:35:21",75
"2018-03-01 17:35:27",82
"2018-03-01 17:35:32",79
"2018-03-01 17:35:42",80
"2018-03-01 17:35:47",80
"2018-03-01 17:35:57",81
"2018-03-01 17:36:02",82
"2018-03-01 17:36:07",80
"2018-03-01 17:36:12",78
"2018-03-01 17:36:22",78
"2018-03-01 17:36:27",77
"2018-03-01 17:36:32",70
"2018-03-01 17:36:37",74
"2018-03-01 17:36:42",75
"2018-03-01 17:36:47",74
"2018-03-01 17:36:52",77
"2018-03-01 17:36:57",78
"2018-03-01 17:37:07",82
"2018-03-01 17:37:12",83
"2018-03-01 17:37:17",87
"2018-03-01 17:37:22",91
"2018-03-01 17:37:27",89
"2018-03-01 17:37:32",88
"2018-03-01 17:37:37",84
"2018-03-01 17:37:42",83
"2018-03-01 17:37:52",90
"2018-03-01 17:37:57",84
"2018-03-01 17:38:07",81
"2018-03-01 17:38:14",82
"2018-03-01 17:38:19",83
"2018-03-01 17:38:29",86
"2018-03-01 17:38:34",87
"2018-03-01 17:38:39",87
"2018-03-01 17:38:44",78
"2018-03-01 17:38:49",77
"2018-03-01 17:38:54",77
"2018-03-01 17:38:59",71
"2018-03-01 17:39:04",74
"2018-03-01 17:39:09",76
"2018-03-01 17:39:14",75
"2018-03-01 17:39:19",79
"2018-03-01 17:39:24",78
"2018-03-01 17:39:29",81
"2018-03-01 17:39:34",86
"2018-03-01 17:39:39",85
"2018-03-01 17:39:44",86
"2018-03-01 17:39:49",88
"2018-03-01 17:39:54",89
"2018-03-01 17:39:59",89
"2018-03-01 17:40:09",86
"2018-03-01 17:40:24",86
"2018-03-01 17:40:39",86
"2018-03-01 17:40:54",78
"2018-03-01 17:41:04",79
"2018-03-01 17:41:10",78
"2018-03-01 17:41:15",78
"2018-03-01 17:41:20",77
"2018-03-01 17:41:30",77
"2018-03-01 17:41:35",76
"2018-03-01 17:41:45",76
"2018-03-01 17:41:50",85
"2018-03-01 17:41:55",79
"2018-03-01 17:42:00",80
"2018-03-01 17:42:05",77
"2018-03-01 17:42:10",78
"2018-03-01 17:42:25",81
"2018-03-01 17:42:30",81
"2018-03-01 17:42:45",82
"2018-03-01 17:42:50",81
"2018-03-01 17:42:55",80
"2018-03-01 17:43:00",78
"2018-03-01 17:43:05",81
"2018-03-01 17:43:10",82
"2018-03-01 17:43:15",83
"2018-03-01 17:43:20",83
"2018-03-01 17:43:30",82
"2018-03-01 17:43:35",81
"2018-03-01 17:43:40",80
"2018-03-01 17:43:45",82
"2018-03-01 17:43:55",81
"2018-03-01 17:44:02",87
"2018-03-01 17:44:07",86
"2018-03-01 17:44:12",84
"2018-03-01 17:44:17",85
"2018-03-01 17:44:22",84
"2018-03-01 17:44:27",81
"2018-03-01 17:44:37",80
"2018-03-01 17:44:42",76
"2018-03-01 17:44:52",75
"2018-03-01 17:44:57",77
"2018-03-01 17:45:02",79
"2018-03-01 17:45:07",86
"2018-03-01 17:45:12",87
"2018-03-01 17:45:17",85
"2018-03-01 17:45:22",80
"2018-03-01 17:45:27",81
"2018-03-01 17:45:32",84
"2018-03-01 17:45:37",83
"2018-03-01 17:45:47",85
"2018-03-01 17:45:52",84
"2018-03-01 17:45:57",80
"2018-03-01 17:46:02",76
"2018-03-01 17:46:12",77
"2018-03-01 17:46:22",79
"2018-03-01 17:46:27",82
"2018-03-01 17:46:32",82
"2018-03-01 17:46:37",80
"2018-03-01 17:46:43",77
"2018-03-01 17:46:48",77
"2018-03-01 17:46:53",76
"2018-03-01 17:47:03",75
"2018-03-01 17:47:08",79
"2018-03-01 17:47:13",80
"2018-03-01 17:47:18",83
"2018-03-01 17:47:23",86
"2018-03-01 17:47:33",85
"2018-03-01 17:47:38",85
"2018-03-01 17:47:43",86
"2018-03-01 17:47:53",85
"2018-03-01 17:47:58",84
"2018-03-01 17:48:03",83
"2018-03-01 17:48:08",83
"2018-03-01 17:48:13",82
"2018-03-01 17:48:28",81
"2018-03-01 17:48:33",81
"2018-03-01 17:48:38",80
"2018-03-01 17:48:43",83
"2018-03-01 17:48:48",85
"2018-03-01 17:49:03",86
"2018-03-01 17:49:08",89
"2018-03-01 17:49:13",86
"2018-03-01 17:49:18",84
"2018-03-01 17:49:28",82
"2018-03-01 17:49:43",83
"2018-03-01 17:49:45",83
"2018-03-01 17:49:55",84
"2018-03-01 17:50:00",85
"2018-03-01 17:50:05",88
"2018-03-01 17:50:10",82
"2018-03-01 17:50:15",80
"2018-03-01 17:50:20",82
"2018-03-01 17:50:30",81
"2018-03-01 17:50:35",82
"2018-03-01 17:50:40",81
"2018-03-01 17:50:45",80
"2018-03-01 17:50:50",87
"2018-03-01 17:50:55",88
"2018-03-01 17:51:00",87
"2018-03-01 17:51:05",86
"2018-03-01 17:51:10",87
"2018-03-01 17:51:15",88
"2018-03-01 17:51:30",88
"2018-03-01 17:51:35",87
"2018-03-01 17:51:40",82
"2018-03-01 17:51:45",80
"2018-03-01 17:51:50",81
"2018-03-01 17:51:55",80
"2018-03-01 17:52:00",85
"2018-03-01 17:52:05",83
"2018-03-01 17:52:15",82
"2018-03-01 17:52:20",83
"2018-03-01 17:52:27",85
"2018-03-01 17:52:32",82
"2018-03-01 17:52:37",82
"2018-03-01 17:52:42",77
"2018-03-01 17:52:47",76
"2018-03-01 17:52:57",77
"2018-03-01 17:53:02",72
"2018-03-01 17:53:07",70
"2018-03-01 17:53:12",72
"2018-03-01 17:53:17",73
"2018-03-01 17:53:22",77
"2018-03-01 17:53:27",76
"2018-03-01 17:53:32",75
"2018-03-01 17:53:37",80
"2018-03-01 17:53:42",84
"2018-03-01 17:53:52",86
"2018-03-01 17:53:57",82
"2018-03-01 17:54:02",81
"2018-03-01 17:54:07",86
"2018-03-01 17:54:12",85
"2018-03-01 17:54:17",87
"2018-03-01 17:54:22",89
"2018-03-01 17:54:27",84
"2018-03-01 17:54:32",82
"2018-03-01 17:54:42",77
"2018-03-01 17:54:47",81
"2018-03-01 17:54:52",81
"2018-03-01 17:54:58",80
"2018-03-01 17:55:03",83
"2018-03-01 17:55:08",84
"2018-03-01 17:55:13",83
"2018-03-01 17:55:18",76
"2018-03-01 17:55:23",76
"2018-03-01 17:55:28",73
"2018-03-01 17:55:33",71
"2018-03-01 17:55:38",70
"2018-03-01 17:55:43",70
"2018-03-01 17:55:48",73
"2018-03-01 17:55:53",75
"2018-03-01 17:55:58",79
"2018-03-01 17:56:03",81
"2018-03-01 17:56:08",82
"2018-03-01 17:56:13",84
"2018-03-01 17:56:18",85
"2018-03-01 17:56:23",88
"2018-03-01 17:56:28",91
"2018-03-01 17:56:33",84
"2018-03-01 17:56:38",76
"2018-03-01 17:56:48",74
