time_readable,heart_rate_value
"2018-02-15 13:00:01",51
"2018-02-15 13:00:06",50
"2018-02-15 13:00:21",50
"2018-02-15 13:00:36",50
"2018-02-15 13:00:46",52
"2018-02-15 13:00:51",53
"2018-02-15 13:01:06",52
"2018-02-15 13:01:11",53
"2018-02-15 13:01:16",55
"2018-02-15 13:01:21",54
"2018-02-15 13:01:31",55
"2018-02-15 13:01:36",54
"2018-02-15 13:01:51",54
"2018-02-15 13:02:06",54
"2018-02-15 13:02:21",54
"2018-02-15 13:02:31",53
"2018-02-15 13:02:46",51
"2018-02-15 13:03:01",51
"2018-02-15 13:03:11",52
"2018-02-15 13:03:26",52
"2018-02-15 13:03:36",52
"2018-02-15 13:03:41",52
"2018-02-15 13:03:46",53
"2018-02-15 13:04:01",53
"2018-02-15 13:04:16",53
"2018-02-15 13:04:26",56
"2018-02-15 13:04:33",57
"2018-02-15 13:04:48",57
"2018-02-15 13:05:03",57
"2018-02-15 13:05:08",59
"2018-02-15 13:05:13",59
"2018-02-15 13:05:23",61
"2018-02-15 13:05:28",62
"2018-02-15 13:05:38",65
"2018-02-15 13:05:43",67
"2018-02-15 13:05:48",68
"2018-02-15 13:06:03",68
"2018-02-15 13:06:08",68
"2018-02-15 13:06:13",68
"2018-02-15 13:06:23",71
"2018-02-15 13:06:28",74
"2018-02-15 13:06:33",75
"2018-02-15 13:06:48",76
"2018-02-15 13:06:58",78
"2018-02-15 13:07:03",76
"2018-02-15 13:07:08",77
"2018-02-15 13:07:18",79
"2018-02-15 13:07:23",81
"2018-02-15 13:07:28",82
"2018-02-15 13:07:33",86
"2018-02-15 13:07:38",89
"2018-02-15 13:07:43",90
"2018-02-15 13:07:48",85
"2018-02-15 13:07:55",84
"2018-02-15 13:08:05",86
"2018-02-15 13:08:10",90
"2018-02-15 13:08:15",94
"2018-02-15 13:08:20",97
"2018-02-15 13:08:25",99
"2018-02-15 13:08:30",103
"2018-02-15 13:08:35",108
"2018-02-15 13:08:45",109
"2018-02-15 13:08:50",108
"2018-02-15 13:09:00",109
"2018-02-15 13:09:05",110
"2018-02-15 13:09:20",111
"2018-02-15 13:09:25",110
"2018-02-15 13:09:30",102
"2018-02-15 13:09:35",93
"2018-02-15 13:09:40",86
"2018-02-15 13:09:45",85
"2018-02-15 13:09:50",86
"2018-02-15 13:09:55",87
"2018-02-15 13:10:00",89
"2018-02-15 13:10:05",92
"2018-02-15 13:10:10",93
"2018-02-15 13:10:20",91
"2018-02-15 13:10:30",90
"2018-02-15 13:10:40",90
"2018-02-15 13:10:47",90
"2018-02-15 13:11:02",90
"2018-02-15 13:11:07",88
"2018-02-15 13:11:12",83
"2018-02-15 13:11:17",83
"2018-02-15 13:11:27",82
"2018-02-15 13:11:32",81
"2018-02-15 13:11:37",80
"2018-02-15 13:11:52",77
"2018-02-15 13:12:02",76
"2018-02-15 13:12:17",76
"2018-02-15 13:12:22",61
"2018-02-15 13:12:27",58
"2018-02-15 13:12:32",56
"2018-02-15 13:12:37",55
"2018-02-15 13:12:42",54
"2018-02-15 13:12:52",55
"2018-02-15 13:13:02",56
"2018-02-15 13:13:07",57
"2018-02-15 13:13:12",57
"2018-02-15 13:13:22",58
"2018-02-15 13:13:27",60
"2018-02-15 13:13:42",60
"2018-02-15 13:13:57",57
"2018-02-15 13:14:12",57
"2018-02-15 13:14:22",58
"2018-02-15 13:14:29",58
"2018-02-15 13:14:34",58
"2018-02-15 13:14:39",59
"2018-02-15 13:14:44",61
"2018-02-15 13:14:49",63
"2018-02-15 13:14:59",64
"2018-02-15 13:15:04",66
"2018-02-15 13:15:09",68
"2018-02-15 13:15:14",69
"2018-02-15 13:15:24",58
"2018-02-15 13:15:34",57
"2018-02-15 13:15:39",56
"2018-02-15 13:15:44",55
"2018-02-15 13:15:49",54
"2018-02-15 13:15:54",55
"2018-02-15 13:16:09",55
"2018-02-15 13:16:19",56
"2018-02-15 13:16:24",57
"2018-02-15 13:16:29",58
"2018-02-15 13:16:34",60
"2018-02-15 13:16:39",62
"2018-02-15 13:16:44",64
"2018-02-15 13:16:49",68
"2018-02-15 13:16:54",71
"2018-02-15 13:16:59",75
"2018-02-15 13:17:04",78
"2018-02-15 13:17:10",81
"2018-02-15 13:17:15",85
"2018-02-15 13:17:20",90
"2018-02-15 13:17:30",94
"2018-02-15 13:17:35",96
"2018-02-15 13:17:40",98
"2018-02-15 13:17:45",100
"2018-02-15 13:17:50",101
"2018-02-15 13:17:55",102
"2018-02-15 13:18:00",104
"2018-02-15 13:18:05",105
"2018-02-15 13:18:10",106
"2018-02-15 13:18:15",108
"2018-02-15 13:18:20",109
"2018-02-15 13:18:25",108
"2018-02-15 13:18:40",108
"2018-02-15 13:18:55",108
"2018-02-15 13:19:00",109
"2018-02-15 13:19:10",112
"2018-02-15 13:19:15",109
"2018-02-15 13:19:20",108
"2018-02-15 13:19:30",109
"2018-02-15 13:19:35",113
"2018-02-15 13:19:40",115
"2018-02-15 13:19:45",114
"2018-02-15 13:19:55",115
"2018-02-15 13:20:00",114
"2018-02-15 13:20:06",109
"2018-02-15 13:20:11",108
"2018-02-15 13:20:16",73
"2018-02-15 13:20:21",73
"2018-02-15 13:20:36",74
"2018-02-15 13:20:41",75
"2018-02-15 13:20:46",77
"2018-02-15 13:20:51",78
"2018-02-15 13:20:56",79
"2018-02-15 13:21:01",78
"2018-02-15 13:21:06",75
"2018-02-15 13:21:11",71
"2018-02-15 13:21:26",71
"2018-02-15 13:21:41",71
"2018-02-15 13:21:51",70
"2018-02-15 13:22:06",70
"2018-02-15 13:22:11",70
"2018-02-15 13:22:26",70
"2018-02-15 13:22:41",70
"2018-02-15 13:22:56",69
"2018-02-15 13:23:01",68
"2018-02-15 13:23:16",68
"2018-02-15 13:23:21",68
"2018-02-15 13:23:28",68
"2018-02-15 13:23:43",68
"2018-02-15 13:23:58",68
"2018-02-15 13:24:13",68
"2018-02-15 13:24:18",57
"2018-02-15 13:24:33",56
"2018-02-15 13:24:38",55
"2018-02-15 13:24:43",57
"2018-02-15 13:24:53",56
"2018-02-15 13:24:58",54
"2018-02-15 13:25:08",53
"2018-02-15 13:25:13",51
"2018-02-15 13:25:18",50
"2018-02-15 13:25:23",49
"2018-02-15 13:25:33",48
"2018-02-15 13:25:48",48
"2018-02-15 13:25:53",49
"2018-02-15 13:25:58",49
"2018-02-15 13:26:03",49
"2018-02-15 13:26:13",49
"2018-02-15 13:26:28",49
"2018-02-15 13:26:38",49
"2018-02-15 13:26:53",49
"2018-02-15 13:27:03",51
"2018-02-15 13:27:13",52
"2018-02-15 13:27:18",54
"2018-02-15 13:27:25",54
"2018-02-15 13:27:30",55
"2018-02-15 13:27:40",54
"2018-02-15 13:27:45",53
"2018-02-15 13:27:50",54
"2018-02-15 13:28:00",52
"2018-02-15 13:28:10",51
"2018-02-15 13:28:25",50
"2018-02-15 13:28:30",51
"2018-02-15 13:28:35",53
"2018-02-15 13:28:40",54
"2018-02-15 13:28:50",53
"2018-02-15 13:28:55",53
"2018-02-15 13:29:00",53
"2018-02-15 13:29:10",52
"2018-02-15 13:29:25",51
"2018-02-15 13:29:40",51
"2018-02-15 13:29:50",52
"2018-02-15 13:30:05",53
"2018-02-15 13:30:20",53
"2018-02-15 13:30:25",54
"2018-02-15 13:30:40",53
"2018-02-15 13:30:45",52
"2018-02-15 13:30:55",51
"2018-02-15 13:31:05",50
"2018-02-15 13:31:20",50
"2018-02-15 13:31:30",49
"2018-02-15 13:31:37",49
"2018-02-15 13:31:42",50
"2018-02-15 13:31:57",50
"2018-02-15 13:32:12",50
"2018-02-15 13:32:17",51
"2018-02-15 13:32:27",50
"2018-02-15 13:32:42",51
"2018-02-15 13:32:47",52
"2018-02-15 13:32:52",51
"2018-02-15 13:33:02",52
"2018-02-15 13:33:07",54
"2018-02-15 13:33:12",54
"2018-02-15 13:33:17",55
"2018-02-15 13:33:32",55
"2018-02-15 13:33:37",54
"2018-02-15 13:33:52",53
"2018-02-15 13:34:07",53
"2018-02-15 13:34:17",52
"2018-02-15 13:34:27",51
"2018-02-15 13:34:32",50
"2018-02-15 13:34:42",51
"2018-02-15 13:34:57",51
"2018-02-15 13:35:02",53
"2018-02-15 13:35:07",54
"2018-02-15 13:35:17",53
"2018-02-15 13:35:27",52
"2018-02-15 13:35:32",50
"2018-02-15 13:35:40",50
"2018-02-15 13:35:45",48
"2018-02-15 13:35:50",49
"2018-02-15 13:36:05",48
"2018-02-15 13:36:10",47
"2018-02-15 13:36:20",48
"2018-02-15 13:36:35",48
"2018-02-15 13:36:40",48
"2018-02-15 13:36:45",49
"2018-02-15 13:37:00",49
"2018-02-15 13:37:05",49
"2018-02-15 13:37:15",51
"2018-02-15 13:37:20",53
"2018-02-15 13:37:25",54
"2018-02-15 13:37:30",57
"2018-02-15 13:37:35",58
"2018-02-15 13:37:45",59
"2018-02-15 13:38:00",59
"2018-02-15 13:38:15",61
"2018-02-15 13:38:20",64
"2018-02-15 13:38:25",64
